customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,OnlineSecurity,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00049,Female,1,No,Yes,34,Yes,Fiber optic,No,Yes,Two year,Yes,Electronic check,47.72,1609.61,0
CUST-00050,Female,0,Yes,No,35,Yes,DSL,No internet service,No,Month-to-month,No,Electronic check,31.56,1089.85,0
CUST-00051,Male,0,No,No,49,Yes,Fiber optic,No internet service,No internet service,Two year,No,Electronic check,32.56,1590.57,0
CUST-00052,Female,0,Yes,Yes,3,Yes,No,No,Yes,Two year,No,Mailed check,87.74,292.59,0
CUST-00053,Male,0,No,Yes,1,Yes,Fiber optic,No,No,Two year,Yes,Credit card (automatic),82.28,44.96,0
CUST-00054,Female,0,No,No,5,Yes,Fiber optic,No,No,One year,No,Credit card (automatic),96.27,540.4,0
CUST-00055,Female,1,No,No,53,Yes,Fiber optic,Yes,No internet service,Two year,No,Bank transfer (automatic),111.75,5861.49,0
CUST-00056,Female,1,Yes,No,3,Yes,Fiber optic,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),87.19,292.33,0
CUST-00057,Female,0,Yes,Yes,53,Yes,DSL,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),33.59,1862.43,0
CUST-00058,Male,0,No,No,62,Yes,Fiber optic,No,Yes,Two year,Yes,Mailed check,42.34,2616.21,0
CUST-00059,Male,0,Yes,No,17,Yes,Fiber optic,No internet service,Yes,Month-to-month,No,Electronic check,102.22,1747.41,0
CUST-00060,Male,0,No,No,43,Yes,DSL,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),38.93,1625.59,1
CUST-00061,Male,0,No,Yes,33,Yes,Fiber optic,Yes,No,Month-to-month,No,Electronic check,25.25,807.66,0
CUST-00062,Female,0,No,No,61,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,88.33,5466.51,0
CUST-00063,Female,0,No,No,13,No,Fiber optic,No internet service,Yes,One year,No,Credit card (automatic),58.25,794.67,1
CUST-00064,Male,1,Yes,Yes,47,Yes,DSL,Yes,No internet service,One year,No,Electronic check,110.0,5190.93,0
CUST-00065,Male,1,No,No,14,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,83.03,1065.52,1
CUST-00066,Female,0,No,No,71,Yes,DSL,No internet service,No internet service,Two year,Yes,Electronic check,27.04,1884.02,0
CUST-00067,Female,0,No,Yes,61,Yes,DSL,Yes,Yes,Month-to-month,No,Mailed check,112.79,6967.14,0
CUST-00068,Male,0,No,No,39,Yes,DSL,No internet service,No,Two year,No,Electronic check,43.86,1731.08,0
CUST-00069,Female,1,No,No,52,Yes,DSL,No internet service,Yes,Month-to-month,Yes,Mailed check,51.72,2716.22,0
CUST-00070,Male,0,No,No,23,Yes,DSL,No internet service,No internet service,One year,No,Electronic check,58.23,1347.82,0
CUST-00071,Male,0,Yes,No,25,No,Fiber optic,Yes,No,Month-to-month,Yes,Mailed check,23.12,547.35,0
CUST-00072,Female,1,No,Yes,59,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Electronic check,67.65,4007.98,1
CUST-00073,Male,0,Yes,No,40,No,Fiber optic,No,No internet service,Two year,Yes,Credit card (automatic),30.33,1136.69,0
CUST-00074,Male,1,Yes,No,28,Yes,Fiber optic,No,No,Month-to-month,No,Mailed check,58.1,1546.53,0
CUST-00075,Male,1,Yes,No,14,Yes,Fiber optic,No,Yes,Two year,No,Bank transfer (automatic),53.07,706.22,0
CUST-00076,Female,0,Yes,Yes,44,Yes,DSL,No,No,One year,Yes,Bank transfer (automatic),95.28,4201.93,0
CUST-00077,Male,1,No,No,64,Yes,Fiber optic,No,No,Month-to-month,Yes,Mailed check,98.32,6214.0,1
CUST-00078,Female,0,No,Yes,70,Yes,Fiber optic,No internet service,No,One year,No,Electronic check,33.34,2340.15,0
CUST-00079,Female,0,No,No,8,Yes,No,No,Yes,Month-to-month,No,Mailed check,54.66,387.55,1
CUST-00080,Male,0,Yes,No,0,Yes,DSL,Yes,No,Month-to-month,Yes,Bank transfer (automatic),55.34,0.0,0
CUST-00081,Female,0,No,No,7,Yes,DSL,No internet service,Yes,Two year,Yes,Mailed check,33.14,296.96,0
CUST-00082,Female,0,Yes,No,62,Yes,Fiber optic,No,No,Month-to-month,No,Electronic check,97.85,6068.56,1
CUST-00083,Male,1,Yes,Yes,10,No,Fiber optic,No,No internet service,One year,Yes,Electronic check,88.72,842.01,0
CUST-00084,Female,0,No,Yes,7,Yes,DSL,No internet service,Yes,Month-to-month,Yes,Electronic check,37.04,268.62,0
CUST-00085,Male,1,Yes,No,34,Yes,Fiber optic,No internet service,Yes,One year,No,Electronic check,54.67,1785.3,0
CUST-00086,Male,0,Yes,Yes,34,No,DSL,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),28.58,990.84,0
CUST-00087,Female,0,Yes,Yes,32,Yes,No,No internet service,No,Month-to-month,Yes,Electronic check,80.82,2641.61,0
CUST-00088,Female,0,No,No,4,Yes,DSL,No,Yes,Two year,Yes,Mailed check,30.14,153.65,0
CUST-00089,Male,0,No,No,40,Yes,DSL,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),116.59,4771.49,0
CUST-00090,Male,0,Yes,No,27,Yes,DSL,No internet service,No internet service,One year,No,Credit card (automatic),96.07,2496.97,0
CUST-00091,Male,1,Yes,Yes,6,Yes,Fiber optic,No,No,One year,No,Mailed check,57.02,348.47,0
CUST-00092,Male,0,Yes,Yes,72,Yes,DSL,No internet service,Yes,One year,Yes,Electronic check,75.86,5394.74,0
CUST-00093,Female,0,Yes,No,71,Yes,Fiber optic,Yes,No,One year,No,Electronic check,109.13,7739.57,0
CUST-00094,Female,0,No,No,11,Yes,No,No,No internet service,Month-to-month,Yes,Mailed check,73.41,807.59,1
CUST-00095,Male,0,No,No,33,Yes,DSL,No,No,Month-to-month,No,Mailed check,35.45,1283.84,0
CUST-00096,Male,1,No,No,32,Yes,Fiber optic,No internet service,No internet service,Two year,Yes,Mailed check,55.87,1784.85,0
CUST-00097,Male,0,No,Yes,47,Yes,DSL,No,No internet service,Two year,Yes,Electronic check,102.31,4804.65,0
CUST-00098,Male,0,No,No,22,No,Fiber optic,No,No,Month-to-month,No,Credit card (automatic),82.42,1863.5,0
CUST-00099,Female,0,No,Yes,61,Yes,DSL,No,No internet service,Month-to-month,Yes,Electronic check,83.07,5064.63,1
CUST-00100,Female,1,No,Yes,36,Yes,DSL,Yes,No internet service,One year,Yes,Mailed check,104.68,3860.04,0
CUST-00101,Male,0,No,No,43,Yes,Fiber optic,No,No internet service,Two year,Yes,Credit card (automatic),107.4,4651.68,0
CUST-00102,Male,0,Yes,No,34,Yes,DSL,Yes,Yes,Two year,Yes,Bank transfer (automatic),109.98,3780.75,0
CUST-00103,Female,0,Yes,Yes,64,No,No,Yes,No internet service,Two year,Yes,Mailed check,27.48,1665.34,0
CUST-00104,Female,1,No,No,46,No,Fiber optic,No,No,Month-to-month,Yes,Electronic check,72.41,3430.12,0
CUST-00105,Female,0,No,No,2,Yes,Fiber optic,No,Yes,Two year,No,Credit card (automatic),92.05,151.28,1
CUST-00106,Male,0,No,Yes,0,Yes,No,No internet service,Yes,Two year,No,Electronic check,93.69,0.0,0
CUST-00107,Female,0,No,Yes,4,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),78.67,282.04,0
CUST-00108,Male,0,No,No,13,Yes,Fiber optic,No,No internet service,Month-to-month,Yes,Credit card (automatic),34.68,399.63,0
CUST-00109,Female,0,Yes,No,26,Yes,Fiber optic,No,No,Month-to-month,Yes,Electronic check,97.74,2481.13,1
CUST-00110,Female,0,Yes,No,8,Yes,DSL,Yes,No,One year,Yes,Bank transfer (automatic),90.01,725.24,0
CUST-00111,Male,0,No,No,14,Yes,Fiber optic,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),26.61,274.05,0
CUST-00112,Female,0,No,No,41,Yes,Fiber optic,No,No internet service,Month-to-month,No,Bank transfer (automatic),64.38,2627.44,0
CUST-00113,Male,0,Yes,No,50,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,35.4,1822.89,0
CUST-00114,Male,1,No,Yes,62,Yes,DSL,No,Yes,Month-to-month,Yes,Credit card (automatic),51.75,3240.1,0
CUST-00115,Male,0,Yes,No,51,Yes,DSL,No,No internet service,Month-to-month,Yes,Mailed check,19.81,1031.93,0
CUST-00116,Female,0,Yes,No,3,Yes,DSL,Yes,No internet service,One year,No,Bank transfer (automatic),58.03,129.32,0
CUST-00117,Female,0,Yes,No,22,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),72.99,1526.48,0
CUST-00118,Female,0,No,Yes,14,Yes,DSL,No,No internet service,Two year,No,Electronic check,79.96,1171.53,0
CUST-00119,Female,0,No,No,42,Yes,Fiber optic,Yes,No internet service,Two year,Yes,Electronic check,84.35,3520.25,0
CUST-00120,Female,0,Yes,Yes,28,Yes,Fiber optic,No internet service,No internet service,Two year,Yes,Electronic check,101.63,2841.49,0
CUST-00121,Female,0,No,Yes,35,Yes,DSL,No,No internet service,One year,Yes,Electronic check,39.55,1374.37,0
CUST-00122,Female,1,No,No,12,Yes,Fiber optic,No,No internet service,Month-to-month,Yes,Electronic check,30.05,394.22,1
CUST-00123,Male,0,No,No,31,Yes,Fiber optic,Yes,No,Month-to-month,No,Mailed check,103.15,3289.82,1
CUST-00124,Male,0,No,No,70,Yes,DSL,Yes,No internet service,Month-to-month,Yes,Electronic check,33.66,2429.32,0
CUST-00125,Male,0,No,Yes,58,Yes,Fiber optic,Yes,No,Two year,No,Credit card (automatic),115.48,6581.23,0
CUST-00126,Female,0,No,No,27,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),102.25,2745.32,1
CUST-00127,Female,1,Yes,No,65,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),68.09,4358.51,1
CUST-00128,Female,0,Yes,Yes,41,No,Fiber optic,No internet service,No,One year,No,Mailed check,116.14,4808.66,0
CUST-00129,Female,0,Yes,No,44,Yes,Fiber optic,No internet service,Yes,Two year,No,Electronic check,27.74,1220.76,0
CUST-00130,Male,1,No,Yes,61,No,DSL,No,No internet service,One year,Yes,Mailed check,48.31,2977.22,0
CUST-00131,Female,0,Yes,No,56,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),81.82,4562.21,0
CUST-00132,Female,0,Yes,No,5,Yes,DSL,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),53.0,213.03,0
CUST-00133,Female,0,Yes,Yes,27,Yes,Fiber optic,No internet service,No internet service,One year,Yes,Electronic check,110.84,2949.27,0
CUST-00134,Female,0,Yes,Yes,27,Yes,DSL,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),24.56,586.47,0
CUST-00135,Male,0,Yes,No,43,Yes,Fiber optic,No,No,Two year,No,Bank transfer (automatic),72.94,3073.24,0
CUST-00136,Male,0,No,No,29,Yes,DSL,Yes,No internet service,Month-to-month,Yes,Mailed check,77.09,2161.9,1
CUST-00137,Female,0,No,No,61,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,Electronic check,83.27,5027.68,0
CUST-00138,Female,0,No,No,61,No,Fiber optic,Yes,No,Two year,No,Mailed check,43.57,2603.16,0
CUST-00139,Male,0,No,Yes,0,Yes,Fiber optic,No,No,Month-to-month,Yes,Mailed check,54.46,19.7,1
CUST-00140,Male,0,No,No,26,No,DSL,No,No internet service,Two year,Yes,Mailed check,102.37,2679.36,0
CUST-00141,Male,0,Yes,Yes,61,Yes,No,Yes,No,Two year,Yes,Mailed check,37.49,2306.54,0
CUST-00142,Female,0,No,Yes,2,Yes,DSL,No,No,Two year,No,Electronic check,100.69,260.13,0
CUST-00143,Female,0,Yes,No,69,Yes,DSL,No internet service,No internet service,Month-to-month,Yes,Electronic check,74.27,5120.71,0
CUST-00144,Female,0,No,No,71,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Electronic check,94.22,6650.58,0
CUST-00145,Male,0,Yes,Yes,26,Yes,No,Yes,Yes,Two year,Yes,Electronic check,89.36,2433.93,0
CUST-00146,Male,1,No,Yes,8,Yes,DSL,Yes,No,Two year,Yes,Electronic check,38.75,355.28,0
CUST-00147,Male,0,No,No,61,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,Electronic check,74.88,4575.3,1
CUST-00148,Male,0,No,No,36,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Electronic check,104.77,3775.86,0
CUST-00149,Female,0,Yes,Yes,50,Yes,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),61.21,3074.98,1
CUST-00150,Male,1,No,Yes,43,Yes,DSL,Yes,No,Two year,No,Credit card (automatic),114.66,4920.27,0
CUST-00151,Female,1,No,No,23,Yes,Fiber optic,No,Yes,Month-to-month,Yes,Electronic check,63.22,1460.47,0
CUST-00152,Female,0,Yes,Yes,58,Yes,DSL,No,No,Month-to-month,Yes,Electronic check,32.28,1897.21,0
CUST-00153,Female,0,No,No,31,Yes,DSL,No internet service,No internet service,One year,Yes,Credit card (automatic),56.94,1728.81,0
CUST-00154,Female,1,No,No,51,No,DSL,Yes,No,Month-to-month,Yes,Bank transfer (automatic),113.17,5689.96,0
CUST-00155,Male,0,No,No,61,Yes,No,No internet service,No,Two year,No,Electronic check,49.97,2944.39,0
CUST-00156,Male,0,Yes,No,57,Yes,DSL,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),104.81,6018.56,0
CUST-00157,Female,0,Yes,No,51,Yes,No,No,No,Month-to-month,No,Mailed check,106.13,5333.48,0
CUST-00158,Female,0,Yes,No,11,Yes,DSL,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),53.02,606.49,0
CUST-00159,Female,0,No,No,38,Yes,No,Yes,No internet service,Month-to-month,No,Credit card (automatic),26.33,942.82,1
CUST-00160,Male,0,No,No,1,No,Fiber optic,Yes,No,Month-to-month,No,Electronic check,90.46,33.55,1
CUST-00161,Male,0,No,No,2,Yes,DSL,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),49.15,62.39,0
CUST-00162,Male,0,No,No,55,Yes,Fiber optic,Yes,No internet service,Month-to-month,Yes,Electronic check,96.29,5305.66,1
CUST-00163,Female,0,No,No,58,Yes,DSL,No internet service,Yes,Two year,No,Mailed check,62.27,3547.23,0
CUST-00164,Female,0,No,No,1,No,Fiber optic,No internet service,No,Month-to-month,Yes,Mailed check,66.53,35.68,0
CUST-00165,Male,0,Yes,No,1,Yes,Fiber optic,No,Yes,Two year,No,Bank transfer (automatic),95.79,94.5,1
CUST-00166,Female,1,Yes,No,53,Yes,Fiber optic,Yes,Yes,One year,No,Electronic check,56.24,2920.21,0
CUST-00167,Female,0,No,No,0,Yes,Fiber optic,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),62.31,71.41,1
CUST-00168,Male,0,No,No,18,Yes,Fiber optic,No,No,Month-to-month,Yes,Bank transfer (automatic),55.62,915.03,0
CUST-00169,Male,0,Yes,Yes,1,Yes,DSL,No,Yes,Month-to-month,Yes,Mailed check,54.73,43.82,0
CUST-00170,Male,0,Yes,No,52,Yes,No,Yes,No internet service,Month-to-month,Yes,Electronic check,70.59,3734.31,0
CUST-00171,Female,0,Yes,No,43,Yes,No,No,No,Month-to-month,Yes,Electronic check,98.88,4185.62,0
CUST-00172,Female,0,No,No,31,Yes,DSL,No,No internet service,Month-to-month,No,Bank transfer (automatic),54.18,1674.1,0
CUST-00173,Male,1,No,No,69,Yes,DSL,No internet service,Yes,One year,No,Credit card (automatic),70.43,4866.31,0
CUST-00174,Female,0,Yes,No,31,Yes,Fiber optic,No,Yes,One year,No,Mailed check,85.07,2596.83,1
CUST-00175,Male,0,Yes,Yes,67,Yes,Fiber optic,No internet service,No internet service,Month-to-month,Yes,Mailed check,44.94,3007.11,1
CUST-00176,Male,0,No,Yes,54,Yes,DSL,Yes,No internet service,Month-to-month,Yes,Electronic check,45.75,2498.57,0
CUST-00177,Male,1,Yes,No,55,Yes,DSL,No internet service,Yes,Two year,Yes,Mailed check,111.34,6100.34,0
CUST-00178,Male,0,Yes,No,16,No,Fiber optic,No internet service,No,Month-to-month,Yes,Electronic check,90.35,1483.82,1
CUST-00179,Male,0,Yes,No,37,Yes,Fiber optic,No,No,Two year,Yes,Bank transfer (automatic),75.72,2821.28,0
CUST-00180,Female,0,No,Yes,23,Yes,DSL,Yes,Yes,One year,Yes,Credit card (automatic),82.77,1874.56,0
CUST-00181,Female,0,No,No,68,Yes,No,No,Yes,Two year,No,Credit card (automatic),20.93,1479.61,0
CUST-00182,Male,0,No,No,69,Yes,Fiber optic,No internet service,No internet service,Month-to-month,Yes,Electronic check,79.81,5469.84,0
CUST-00183,Female,0,No,No,10,Yes,Fiber optic,No internet service,No internet service,Two year,No,Bank transfer (automatic),68.95,732.29,0
CUST-00184,Male,0,No,No,15,Yes,Fiber optic,No internet service,Yes,One year,No,Electronic check,72.57,1052.4,0
CUST-00185,Female,0,Yes,Yes,72,Yes,DSL,Yes,Yes,One year,Yes,Electronic check,53.94,3867.88,0
CUST-00186,Female,0,No,Yes,58,Yes,Fiber optic,Yes,Yes,Month-to-month,No,Electronic check,26.15,1508.57,0
CUST-00187,Female,0,No,Yes,69,Yes,DSL,Yes,No internet service,Month-to-month,Yes,Electronic check,37.33,2592.7,0
CUST-00188,Male,0,Yes,No,2,Yes,DSL,No,Yes,Two year,No,Bank transfer (automatic),113.07,105.47,0
CUST-00189,Female,0,No,No,19,No,DSL,No,Yes,One year,No,Mailed check,58.87,1141.43,0
CUST-00190,Male,0,Yes,No,58,Yes,DSL,No,No internet service,Month-to-month,Yes,Credit card (automatic),64.67,3745.74,0
CUST-00191,Female,0,No,Yes,35,Yes,Fiber optic,No,No internet service,Month-to-month,No,Electronic check,23.27,828.74,1
CUST-00192,Male,0,No,No,18,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Mailed check,21.76,416.8,0
CUST-00193,Male,0,No,No,66,Yes,DSL,Yes,No internet service,One year,No,Electronic check,89.72,5941.21,0
CUST-00194,Female,0,No,No,18,No,DSL,No internet service,No,One year,Yes,Electronic check,71.81,1192.21,0
CUST-00195,Male,0,No,Yes,19,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),68.87,1255.48,1
CUST-00196,Female,1,No,Yes,70,Yes,DSL,No,Yes,Month-to-month,Yes,Mailed check,42.31,2978.34,0
CUST-00197,Male,0,No,No,51,Yes,Fiber optic,No,Yes,Month-to-month,No,Credit card (automatic),92.48,4726.46,0
CUST-00198,Male,0,Yes,Yes,32,Yes,Fiber optic,No,No internet service,Month-to-month,Yes,Mailed check,34.82,1074.76,1
CUST-00199,Female,0,Yes,No,39,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,36.99,1479.49,1
CUST-00200,Male,0,Yes,No,38,Yes,No,Yes,No internet service,Month-to-month,No,Electronic check,64.07,2421.84,0
CUST-00201,Male,1,Yes,No,0,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,Credit card (automatic),46.63,44.29,1
CUST-00202,Female,0,Yes,No,10,Yes,DSL,Yes,No,Two year,No,Electronic check,42.75,488.0,0
CUST-00203,Female,0,No,No,56,Yes,Fiber optic,No,No,One year,Yes,Credit card (automatic),82.52,4635.04,0
CUST-00204,Male,0,No,No,49,Yes,DSL,Yes,Yes,Two year,Yes,Mailed check,83.1,4099.68,0
CUST-00205,Female,0,No,No,22,No,DSL,No internet service,No internet service,Month-to-month,Yes,Electronic check,100.45,2179.48,1
CUST-00206,Male,1,Yes,No,30,Yes,Fiber optic,No internet service,No,Two year,Yes,Bank transfer (automatic),59.77,1837.71,0
CUST-00207,Female,1,No,No,41,Yes,Fiber optic,Yes,Yes,One year,Yes,Electronic check,25.31,1048.62,0
CUST-00208,Male,1,No,Yes,6,Yes,DSL,No internet service,No internet service,Month-to-month,Yes,Electronic check,45.37,257.48,1
CUST-00209,Female,0,Yes,Yes,15,Yes,DSL,Yes,Yes,Month-to-month,Yes,Credit card (automatic),116.0,1679.06,0
CUST-00210,Male,0,No,Yes,59,Yes,No,No internet service,No internet service,One year,Yes,Mailed check,77.63,4555.9,0
CUST-00211,Female,0,Yes,Yes,1,Yes,No,Yes,No internet service,Two year,Yes,Mailed check,88.97,33.5,1
CUST-00212,Female,0,No,No,0,No,Fiber optic,Yes,No,Month-to-month,No,Electronic check,18.74,38.07,1
CUST-00213,Female,0,Yes,No,47,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,Electronic check,69.82,3342.56,0
CUST-00214,Female,0,No,No,11,Yes,No,No,No,One year,No,Mailed check,21.75,285.06,1
CUST-00215,Male,0,No,Yes,68,Yes,Fiber optic,No internet service,No,Two year,Yes,Mailed check,74.92,5218.86,0
CUST-00216,Male,0,No,No,36,Yes,Fiber optic,No internet service,No,One year,No,Bank transfer (automatic),110.08,3939.86,0
CUST-00217,Male,0,No,No,31,Yes,DSL,Yes,No internet service,Month-to-month,Yes,Mailed check,114.84,3589.87,1
CUST-00218,Male,1,No,No,8,Yes,DSL,No,No,Month-to-month,No,Bank transfer (automatic),72.06,517.41,1
CUST-00219,Male,0,Yes,No,18,Yes,Fiber optic,No,No,Month-to-month,Yes,Electronic check,63.82,1138.9,0
CUST-00220,Male,0,Yes,No,47,Yes,DSL,No,Yes,Two year,Yes,Electronic check,112.5,5213.63,0
CUST-00221,Female,0,Yes,No,2,Yes,DSL,No,No,One year,No,Electronic check,85.36,199.13,0
